organismo,fecha_acta,fecha_envio-onc,descripcion,ccoo,planilla-adjunta,acto-administrativo
Armada Argentina,2020-06-19,2020-09-08,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0124-CDI20 / COVID-19 N°124/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-59631770-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-59631770-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-55885191-apn-dgsaara.pdf
Armada Argentina,2020-08-11,2020-09-11,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0190-CDI20 / COVID-19 N°190/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-60622237-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-60622237-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-55885616-apn-dgsaara.pdf
Armada Argentina,2020-07-13,2020-09-11,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0149-CDI20 / COVID-19 N°149/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-60759027-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-60759027-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-58900663-apn-dgsaara.pdf
Armada Argentina,2020-06-01,2020-09-14,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/19-0098-CDI20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-61126998-apn-cuemara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-61126998-apn-cuemara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-39400539-apn-dgsaara.pdf
Teatro Nacional Cervantes,2020-08-19,2020-09-14,"Comunicación Oficial enviada por el Teatro Nacional Cervantes con el detalle del procedimiento COMPR.AR 17-0032-CDI20 / COVID19 N°3/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-61177372-apn-datnc.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-61177372-apn-datnc.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-60342984-apn-tncmc.pdf
Armada Argentina,2020-08-03,2020-09-14,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0183-CDI20 / COVID-19 N°183/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-61271685-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-61271685-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-58582074-apn-dgsaara.pdf
Armada Argentina,2020-08-12,2020-09-14,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0201-CDI20 / COVID-19 N°201/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-61272361-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-61272361-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-58900217-apn-dgsaara.pdf
Ministerio de Desarrollo Social,2020-09-04,2020-09-16,"Comunicación Oficial enviada por el Ministerio de Desarrollo Social con el detalle del procedimiento COMPR.AR 95-0088-CDI20 / COVID-19 N°34/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-61786147-apn-dcycmds.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-61786147-apn-dcycmds.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-61146174-apn-mds.pdf
Armada Argentina,2020-08-24,2020-09-16,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0212-CDI20 / COVID-19 N°212/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-62027134-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-62027134-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-59945997-apn-dgsaara.pdf
Armada Argentina,2020-08-18,2020-09-17,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0205-CDI20 / COVID-19 N°205/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-62348678-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-62348678-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-61210606-apn-dgsaara.pdf
Universidad Nacional de La Matanza,2020-08-13,2020-09-15,Planilla enviada por la Universidad Nacional de La Matanza con el detalle del procedimiento COVID-19 Nº36-2020,,https://www.argentina.gob.ar/sites/default/files/planilla_comunicacion_onc_expte_377-2020.xlsx,
Instituto Nacional de Estadística y Censos,2020-08-05,2020-09-18,"Comunicación Oficial enviada por el Instituto Nacional de Estadística y Censos con el detalle del procedimiento COMPR.AR 27-0013-CDI20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-62558745-apn-dpysindec.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-62558745-apn-dpysindec.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-62027760-apn-dgayoindec.pdf
Ministerio de Desarrollo Social,2020-09-08,2020-09-21,"Comunicación Oficial enviada por el Ministerio de Desarrollo Social con el detalle del procedimiento COMPR.AR 95-0091-CDI20 / COVID-19 N°36/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-62919897-apn-dcycmds.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-62919897-apn-dcycmds.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-62275304-apn-mds.pdf
Instituto de Ayuda Financiera para Pago de Retiros y Pensiones Militares,2020-08-31,2020-09-21,"Comunicación Oficial enviada por el Instituto de Ayuda Financiera para Pago de Retiros y Pensiones Militares con el detalle del procedimiento COVID19 N° 0004/20 / COMPR.AR 43-0027-CDI20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-62953591-apn-deiaf.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-62953591-apn-deiaf.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-62089911-apn-diriaf.pdf
Gendarmería Nacional Argentina,2020-04-08,2020-09-21,"Comunicación Oficial enviada por la Gendarmería Nacional Argentina con el detalle del procedimiento COVID-19 Nº01/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-63025255-apn-esjachalgna.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-63025255-apn-esjachalgna.xlsx,https://www.argentina.gob.ar/sites/default/files/acto-2020-62934838-apn-esjachalgna.pdf
Teatro Nacional Cervantes,2020-09-04,2020-09-21,"Comunicación Oficial enviada por el Teatro Nacional Cervantes con el detalle del procedimiento COMPR.AR 17-0038-CDI20 / COVID19 N°5/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-63129281-apn-datnc.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-63129281-apn-datnc.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-61157277-apn-tncmc.pdf
Gendarmería Nacional Argentina,2020-06-16,2020-09-23,"Comunicación Oficial enviada por la Gendarmería Nacional Argentina con el detalle del procedimiento COMPR.AR 37/5-0777-CDI20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-63854126-apn-escugengna.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-63854126-apn-escugengna.xlsx,https://www.argentina.gob.ar/sites/default/files/acto-2020-62685450-apn-escugengna.pdf
Ministerio de Desarrollo Social,2020-09-08,2020-09-28,"Comunicación Oficial enviada por el Ministerio de Desarrollo Social con el detalle del procedimiento COMPR.AR 95-0090-CDI20 / COVID-19 N°35/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-64787212-apn-dcycmds.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-64787212-apn-dcycmds.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-62575916-apn-mds.pdf
Prefectura Naval Argentina,2020-08-18,2020-09-28,"Comunicación Oficial enviada por la Prefectura Naval Argentina con el detalle del procedimiento COMPR.AR 39-0010-CDI20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-64866386-apn-dafipna.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-64866386-apn-dafipna_0.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-60329799-apn-pnamsg.pdf
