"organismo","primer_ejercicio","ultimo_ejercicio","n_adj","tipo","anclaje"
"367 - Ministerio de Finanzas",2018,2018,1,"administracion",FALSE
"374 - Estado Mayor General del Ejercito",2019,2026,41351,"seguridad_defensa",TRUE
"403 - Superintendencia de Bienestar de la Policia Federal Argentina",2019,2026,1870,"seguridad_defensa",FALSE
"470 - Instituto de Ayuda Financiera para pago de Retiros y Pensiones Militares",2019,2026,441,"seguridad_defensa",FALSE
"108 - Instituto Nacional del Agua",2019,2025,330,"ciencia_universidad",FALSE
"652 - Ente Nacional Regulador de la Electricidad",2019,2026,198,"administracion",FALSE
"349 - Procuración del Tesoro de la Nación",2019,2026,178,"administracion",FALSE
"209 - Agencia de Acceso a la Información Pública",2019,2026,96,"administracion",FALSE
"120 - Agencia de Deportes Nacional",2019,2020,34,"administracion",FALSE
"911 - Instituto Nacional de Servicios Sociales para Jubilados y Pensionados - INSSJP",2019,2021,28,"salud_social",FALSE
"9196 - Dirección de Obra Social del Servicio Penitenciario Federal",2019,2021,28,"seguridad_defensa",FALSE
"716 - BICE Fideicomisos S.A",2019,2023,3,"administracion",FALSE
"908 - Hospital Nacional Profesor Alejandro Posadas",2020,2026,1712,"salud_social",FALSE
"376 - Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa",2020,2026,1469,"seguridad_defensa",FALSE
"337 - Secretaría de Cultura",2020,2026,1273,"cultura_educacion",FALSE
"852 - Superintendencia de Riesgos del Trabajo",2020,2026,757,"administracion",FALSE
"330 - SECRETARIA DE EDUCACIÓN – MINISTERIO DE CAPITAL HUMANO",2020,2026,745,"cultura_educacion",FALSE
"307 - Ministerio de Relaciones Exteriores; Comercio Internacional y Culto",2020,2026,721,"administracion",FALSE
"910 - Instituto Nacional de Rehabilitación Psicofísica del Sur Dr. Juan Otimio Tesone",2020,2025,660,"salud_social",FALSE
"322 - Ministerio de Turismo y Deportes",2020,2026,583,"administracion",FALSE
"357 - Ministerio de Economía",2020,2026,422,"administracion",FALSE
"325 - Ministerio del Interior",2020,2026,409,"administracion",FALSE
"801 - Instituto Nacional de Cine y Artes Audiovisuales - INCAA",2020,2026,397,"cultura_educacion",FALSE
"362 - Ministerio de Desarrollo Productivo",2020,2026,394,"administracion",FALSE
