"loc_uoc","lat_u","lon_u","loc_prov","lat_p","lon_p","anclado","n_adj","km"
"CABA",-34.6075,-58.4371,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Programmatic organ",123,490
"Paraná",-31.7401601621031,-60.5274260494443,"PARANA",-31.7401601621031,-60.5274260494443,"Anchored organ",123,0
"CABA",-34.6075,-58.4371,"MUNRO",-34.5298047274022,-58.525182801606,"Programmatic organ",122,12
"CABA",-34.6075,-58.4371,"SAN ANDRES",-26.8881787226155,-65.1935520331529,"Programmatic organ",121,1073
"Mendoza",-32.8897325533642,-68.8444442314254,"MENDOZA",-32.8897325533642,-68.8444442314254,"Anchored organ",121,0
"CABA",-34.6075,-58.4371,"MERCEDES",-34.6507332109012,-59.43138744045,"Programmatic organ",120,91
"CABA",-34.6075,-58.4371,"MANUEL B. GONNET",-34.8818546802863,-58.0103208206183,"Anchored organ",118,50
"San Juan",-31.5372590360945,-68.5250172058885,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",118,999
"Córdoba",-31.4150461523809,-64.1791140755104,"CABA",-34.6075,-58.4371,"Anchored organ",117,642
"Mendoza",-32.8897325533642,-68.8444442314254,"GODOY CRUZ",-32.925334570321,-68.8442814633876,"Anchored organ",115,4
"CABA",-34.6075,-58.4371,"BOULOGNE SUR MER",-34.5094800482416,-58.5669108609788,"Programmatic organ",114,16
"CABA",-34.6075,-58.4371,"MERCEDES",-34.6507332109012,-59.43138744045,"Anchored organ",114,91
"Mar del Plata",-38.0064494189987,-57.5438377776641,"CABA",-34.6075,-58.4371,"Programmatic organ",112,386
"Ushuaia",-54.8074039816905,-68.3037571781958,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",111,1845
"CABA",-34.6075,-58.4371,"San Juan",-31.5372590360945,-68.5250172058885,"Anchored organ",110,999
"Córdoba",-31.4150461523809,-64.1791140755104,"RIO GRANDE",-53.7863260891398,-67.6963281355519,"Anchored organ",110,2503
"CABA",-34.6075,-58.4371,"Lanus Oeste",-34.7037709376997,-58.4005603089343,"Anchored organ",109,11
"Boulogne Sur Mer",-34.5094800482416,-58.5669108609788,"EL PALOMAR",-34.6108556165017,-58.5956810077115,"Anchored organ",108,12
"CABA",-34.6075,-58.4371,"OLIVOS",-34.5093203722724,-58.4813961688058,"Programmatic organ",108,12
"Moreno",-34.6469059433022,-58.7889292381186,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",108,32
"CABA",-34.6075,-58.4371,"Sáenz Peña",-34.6001485700585,-58.5276332441297,"Anchored organ",107,8
"CABA",-34.6075,-58.4371,"ITUZAINGO",-34.6603884942507,-58.6661675132925,"Programmatic organ",106,22
"CABA",-34.6075,-58.4371,"Rosario",-32.9472133838031,-60.6331755763544,"Programmatic organ",106,274
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"VILLA BALLESTER",-34.5480834920372,-58.5570844833764,"Anchored organ",106,9
"Punta Alta",-38.8781733532983,-62.0794804613607,"CABA",-34.6075,-58.4371,"Anchored organ",106,575
"CABA",-34.6075,-58.4371,"PASO DE LOS LIBRES",-29.7137148107283,-57.085405398509,"Anchored organ",103,559
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"CASEROS",-34.6079360429362,-58.5639388527613,"Anchored organ",103,10
"Río Grande",-53.7863260891398,-67.6963281355519,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",103,2252
"CABA",-34.6075,-58.4371,"BERISSO",-34.8702937888262,-57.8833253506658,"Programmatic organ",102,58
