"provincia","estrato","rv"
"Buenos Aires","core",0.5146
"Buenos Aires","core",0.4562
"Buenos Aires","core",0.4497
"Buenos Aires","core",0.4879
"Buenos Aires","core",0.5122
"Buenos Aires","core",0.4812
"Buenos Aires","core",0.6543
"Buenos Aires","core",0.5205
"Buenos Aires","core",0.4207
"Buenos Aires","core",0.4323
"Buenos Aires","core",0.5794
"Buenos Aires","core",0.5164
"Buenos Aires","core",0.3465
"Buenos Aires","core",0.4965
"Buenos Aires","core",0.5147
"Buenos Aires","core",0.639
"Buenos Aires","core",0.361
"Buenos Aires","core",0.5856
"Buenos Aires","core",0.456
"Buenos Aires","core",0.4781
"Buenos Aires","core",0.3603
"Buenos Aires","core",0.5282
"Buenos Aires","core",0.4921
"Buenos Aires","core",0.3988
"Buenos Aires","core",0.4731
"Buenos Aires","core",0.6045
"Buenos Aires","core",0.5371
"Buenos Aires","core",0.4726
"Buenos Aires","core",0.5622
"Buenos Aires","core",0.4943
"Buenos Aires","core",0.396
"Buenos Aires","core",0.7223
"Buenos Aires","core",0.4067
"Buenos Aires","core",0.4734
"Buenos Aires","core",0.522
"Buenos Aires","core",0.4854
"Buenos Aires","core",0.4753
"Buenos Aires","core",0.5158
"Buenos Aires","core",0.4862
"Buenos Aires","core",0.5072
"Buenos Aires","core",0.6928
"Buenos Aires","core",0.5657
"Buenos Aires","core",0.5959
"Buenos Aires","core",0.4646
"Buenos Aires","core",0.4051
"Buenos Aires","core",0.4721
"Buenos Aires","core",0.6606
"Buenos Aires","core",0.5613
"Buenos Aires","core",0.5606
"Buenos Aires","core",0.6226
"Buenos Aires","core",0.5408
"Buenos Aires","core",0.5054
"Buenos Aires","core",0.5121
"Buenos Aires","core",0.6637
"Buenos Aires","core",0.5082
"Buenos Aires","core",0.3451
"Buenos Aires","core",0.3127
"Buenos Aires","core",0.4757
"Buenos Aires","core",0.4962
"Buenos Aires","core",0.4488
"Buenos Aires","core",0.4939
"Buenos Aires","core",0.6869
"Buenos Aires","core",0.5379
"Buenos Aires","core",0.5058
"Buenos Aires","core",0.5064
"Buenos Aires","core",0.3625
"Buenos Aires","core",0.5496
"Buenos Aires","core",0.6759
"Buenos Aires","core",0.3906
"Buenos Aires","core",0.661
"Buenos Aires","core",0.483
"Buenos Aires","core",0.5091
"Buenos Aires","core",0.5169
"Buenos Aires","core",0.3745
"Buenos Aires","core",0.6067
"Buenos Aires","core",0.359
"Buenos Aires","core",0.4277
"Buenos Aires","core",0.5472
"Buenos Aires","core",0.4868
"Buenos Aires","core",0.62
"Buenos Aires","core",0.5154
"Buenos Aires","core",0.4815
"Buenos Aires","core",0.4173
"Buenos Aires","core",0.5399
"Buenos Aires","core",0.5259
"Buenos Aires","core",0.4782
"Buenos Aires","core",0.7785
"Buenos Aires","core",0.5669
"Buenos Aires","core",0.5778
"Buenos Aires","core",0.3089
"Buenos Aires","core",0.407
"Buenos Aires","core",0.419
"Buenos Aires","core",0.533
"Buenos Aires","core",0.4654
"Buenos Aires","core",0.5966
"Buenos Aires","core",0.4579
"Buenos Aires","core",0.5373
"Buenos Aires","core",0.6188
"Buenos Aires","core",0.6638
"Buenos Aires","core",0.5002
"Buenos Aires","core",0.5761
"Buenos Aires","core",0.3941
"Buenos Aires","core",0.5062
"Buenos Aires","core",0.67
"Buenos Aires","core",0.6162
"Buenos Aires","core",0.571
"Buenos Aires","core",0.3402
"Buenos Aires","core",0.5863
"Buenos Aires","core",0.5446
"Buenos Aires","core",0.3871
"Buenos Aires","core",0.4357
"Buenos Aires","core",0.37
"Buenos Aires","core",0.5251
"Buenos Aires","core",0.4159
"Buenos Aires","core",0.6759
"Buenos Aires","core",0.4189
"Buenos Aires","core",0.6105
"Buenos Aires","core",0.5402
"Buenos Aires","core",0.7132
"Buenos Aires","core",0.428
"Buenos Aires","core",0.43
"Buenos Aires","core",0.6916
"Buenos Aires","core",0.5687
"Buenos Aires","core",0.3969
"Buenos Aires","core",0.4207
"Buenos Aires","core",0.5516
"Buenos Aires","core",0.3124
"Buenos Aires","core",0.4327
"Buenos Aires","core",0.5524
"Buenos Aires","core",0.3433
"Buenos Aires","core",0.5296
"Buenos Aires","core",0.3982
"Buenos Aires","core",0.6352
"Buenos Aires","core",0.7254
"Buenos Aires","core",0.5465
"Buenos Aires","core",0.3995
"Buenos Aires","core",0.6494
"Buenos Aires","core",0.4486
"Buenos Aires","core",0.3826
"Buenos Aires","core",0.3561
"Buenos Aires","core",0.5208
"Buenos Aires","core",0.4801
"Buenos Aires","core",0.5518
"Buenos Aires","core",0.3403
"Buenos Aires","core",0.6653
"Buenos Aires","core",0.607
"Buenos Aires","core",0.3936
"Buenos Aires","core",0.4389
"Buenos Aires","core",0.4952
"Buenos Aires","core",0.358
"Buenos Aires","core",0.5585
"Córdoba","core",0.2898
"Córdoba","core",0.4438
"Córdoba","core",0.2254
"Córdoba","core",0.5275
"Córdoba","core",0.206
"Córdoba","core",0.429
"Córdoba","core",0.4549
"Córdoba","core",0.4983
"Córdoba","core",0.5486
"Córdoba","core",0.48
"Córdoba","core",0.4108
"Córdoba","core",0.4873
"Córdoba","core",0.4797
"Córdoba","core",0.399
"Córdoba","core",0.2946
"Córdoba","core",0.4349
"Córdoba","core",0.5586
"Córdoba","core",0.3272
"Córdoba","core",0.4612
"Córdoba","core",0.5813
"Córdoba","core",0.4923
"Córdoba","core",0.5128
"Córdoba","core",0.4922
"Córdoba","core",0.6752
"Córdoba","core",0.4777
"Córdoba","core",0.5956
"Córdoba","core",0.4556
"Córdoba","core",0.4608
"Córdoba","core",0.2203
"Córdoba","core",0.4976
"Córdoba","core",0.49
"Córdoba","core",0.6307
"Córdoba","core",0.3345
"Córdoba","core",0.5504
"Córdoba","core",0.3829
"Córdoba","core",0.3543
"Córdoba","core",0.4955
"Córdoba","core",0.5649
"Córdoba","core",0.3104
"Córdoba","core",0.429
"Córdoba","core",0.6387
"Córdoba","core",0.2624
"Córdoba","core",0.3468
"Córdoba","core",0.4411
"Córdoba","core",0.3615
"Córdoba","core",0.3825
"Córdoba","core",0.4024
"Córdoba","core",0.5171
"Córdoba","core",0.224
"Córdoba","core",0.4896
"Córdoba","core",0.2582
"Córdoba","core",0.6051
"Córdoba","core",0.4156
"Córdoba","core",0.3867
"Córdoba","core",0.3872
"Córdoba","core",0.6016
"Córdoba","core",0.4882
"Córdoba","core",0.4063
"Córdoba","core",0.4221
"Córdoba","core",0.5446
"Córdoba","core",0.2976
"Córdoba","core",0.5813
"Córdoba","core",0.4073
"Córdoba","core",0.5293
"Córdoba","core",0.5323
"Córdoba","core",0.5858
"Córdoba","core",0.406
"Córdoba","core",0.4455
"Córdoba","core",0.3736
"Córdoba","core",0.3089
"Córdoba","core",0.601
"Córdoba","core",0.621
"Córdoba","core",0.4034
"Córdoba","core",0.4837
"Córdoba","core",0.5107
"Córdoba","core",0.3775
"Córdoba","core",0.4733
"Córdoba","core",0.3871
"Córdoba","core",0.3739
"Córdoba","core",0.4411
"Córdoba","core",0.6329
"Córdoba","core",0.4021
"Córdoba","core",0.1752
"Córdoba","core",0.3036
"Córdoba","core",0.4251
"Córdoba","core",0.5585
"Córdoba","core",0.5519
"Córdoba","core",0.6376
"Córdoba","core",0.582
"Córdoba","core",0.4791
"Córdoba","core",0.5002
"Córdoba","core",0.3509
"Córdoba","core",0.5296
"Córdoba","core",0.4096
"Córdoba","core",0.3358
"Córdoba","core",0.3077
"Córdoba","core",0.4489
"Córdoba","core",0.4234
"Córdoba","core",0.4518
"Córdoba","core",0.3032
"Córdoba","core",0.6226
"Córdoba","core",0.3914
"Córdoba","core",0.242
"Córdoba","core",0.3956
"Córdoba","core",0.3112
"Córdoba","core",0.4082
"Córdoba","core",0.5366
"Córdoba","core",0.5564
"Córdoba","core",0.5261
"Córdoba","core",0.5511
"Córdoba","core",0.5835
"Córdoba","core",0.2992
"Córdoba","core",0.1957
"Córdoba","core",0.5431
"Córdoba","core",0.5559
"Córdoba","core",0.4503
"Córdoba","core",0.483
"Córdoba","core",0.4145
"Córdoba","core",0.4157
"Córdoba","core",0.2266
"Córdoba","core",0.4051
"Córdoba","core",0.3807
"Córdoba","core",0.2483
"Córdoba","core",0.5426
"Córdoba","core",0.5381
"Córdoba","core",0.4322
"Córdoba","core",0.5254
"Córdoba","core",0.606
"Córdoba","core",0.602
"Córdoba","core",0.3698
"Córdoba","core",0.5483
"Córdoba","core",0.6131
"Córdoba","core",0.4849
"Córdoba","core",0.2854
"Córdoba","core",0.5921
"Córdoba","core",0.5174
"Córdoba","core",0.4048
"Córdoba","core",0.6608
"Córdoba","core",0.2732
"Córdoba","core",0.3522
"Córdoba","core",0.3415
"Córdoba","core",0.3387
"Córdoba","core",0.3059
"Córdoba","core",0.3905
"Córdoba","core",0.4258
"Córdoba","core",0.4627
"Córdoba","core",0.4115
"Córdoba","core",0.371
"Córdoba","core",0.4901
"Córdoba","core",0.4632
"Córdoba","core",0.4912
"Córdoba","core",0.5125
"Córdoba","core",0.7046
"Córdoba","core",0.4381
"Córdoba","core",0.4982
"Córdoba","core",0.4593
"Córdoba","core",0.6032
"Córdoba","core",0.4403
"Córdoba","core",0.328
"Córdoba","core",0.3654
"Córdoba","core",0.5776
"Córdoba","core",0.6655
"Córdoba","core",0.5697
"Córdoba","core",0.5906
"Córdoba","core",0.4823
"Córdoba","core",0.6124
"Córdoba","core",0.6909
"Córdoba","core",0.4586
"Córdoba","core",0.5144
"Córdoba","core",0.3287
"Córdoba","core",0.6308
"Córdoba","core",0.5768
"Córdoba","core",0.2722
"Córdoba","core",0.5148
"Córdoba","core",0.5365
"Córdoba","core",0.3549
"Córdoba","core",0.5672
"Córdoba","core",0.3074
"Córdoba","core",0.698
"Córdoba","core",0.6246
"Córdoba","core",0.3716
"Córdoba","core",0.4308
"Córdoba","core",0.5307
"Córdoba","core",0.252
"Córdoba","core",0.5754
"Córdoba","core",0.3135
"Córdoba","core",0.3638
"Córdoba","core",0.4841
"Córdoba","core",0.2178
"Córdoba","core",0.3837
"Córdoba","core",0.2867
"Córdoba","core",0.2972
"Córdoba","core",0.327
"Córdoba","core",0.4814
"Córdoba","core",0.5893
"Córdoba","core",0.3934
"Córdoba","core",0.4785
"Córdoba","core",0.3204
"Córdoba","core",0.4015
"Córdoba","core",0.3636
"Córdoba","core",0.5884
"Córdoba","core",0.419
"Córdoba","core",0.5157
"Córdoba","core",0.3021
"Córdoba","core",0.3479
"Córdoba","core",0.6486
"Córdoba","core",0.3109
"Córdoba","core",0.4889
"Córdoba","core",0.254
"Córdoba","core",0.3497
"Córdoba","core",0.4809
"Córdoba","core",0.5096
"Córdoba","core",0.3526
"Córdoba","core",0.4419
"Córdoba","core",0.5298
"Córdoba","core",0.4192
"Córdoba","core",0.55
"Córdoba","core",0.4661
"Córdoba","core",0.3508
"Córdoba","core",0.4175
"Córdoba","core",0.2583
"Córdoba","core",0.3687
"Córdoba","core",0.3383
"Córdoba","core",0.5735
"Córdoba","core",0.3321
"Córdoba","core",0.5819
"Córdoba","core",0.3541
"Córdoba","core",0.5192
"Córdoba","core",0.6298
"Córdoba","core",0.6585
"Córdoba","core",0.5163
"Córdoba","core",0.3787
"Córdoba","core",0.5203
"Córdoba","core",0.3501
"Córdoba","core",0.6591
"Córdoba","core",0.2902
"Córdoba","core",0.3889
"Córdoba","core",0.6284
"Córdoba","core",0.6375
"Córdoba","core",0.6062
"Córdoba","core",0.5184
"Córdoba","core",0.2538
"Córdoba","core",0.2606
"Córdoba","core",0.5675
"Córdoba","core",0.6244
"Córdoba","core",0.2902
"Córdoba","core",0.4209
"Córdoba","core",0.5068
"Córdoba","core",0.3653
"Córdoba","core",0.3214
"Córdoba","core",0.6514
"Córdoba","core",0.6119
"Córdoba","core",0.48
"Córdoba","core",0.3576
"Córdoba","core",0.4339
"Córdoba","core",0.7259
"Córdoba","core",0.5457
"Córdoba","core",0.3028
"Córdoba","core",0.4151
"Córdoba","core",0.4484
"Córdoba","core",0.5363
"Córdoba","core",0.5998
"Córdoba","core",0.216
"Córdoba","core",0.3798
"Córdoba","core",0.3935
"Córdoba","core",0.7418
"Córdoba","core",0.5659
"Córdoba","core",0.5826
"Córdoba","core",0.2383
"Córdoba","core",0.3251
"Córdoba","core",0.3514
