"provincia","anio","planta","habitantes","empleo_x1000hab"
"San Juan",1995,29569,555223,53.2560790889426
"San Luis",1995,18462,321890,57.3549970486812
"Santa Cruz",1995,15488.3,181198,85.4772127727679
"Santa Fe",1995,94959,2949050,32.1998609721775
"Santiago del Estero",1995,31961,700114,45.6511368148616
"Tucumán",1995,48190.5666666667,1216623,39.6101065545092
"Tierra del Fuego",1995,7326,89992,81.4072361987732
"CABA",1996,106339,3032875,35.0621110332605
"Buenos Aires",1996,323936,13544764,23.9159574873361
"Catamarca",1996,22456,294895,76.1491378287187
"Córdoba",1996,76892.9,2962371,25.9565395421438
"Corrientes",1996,39872,870657,45.7953017089393
"Chaco",1996,39344,907389,43.3595734574697
"Chubut",1996,22673,408804,55.4617860881987
"Entre Ríos",1996,47849.5,1078274,44.376012034047
"Formosa",1996,32571.6,458282,71.0732692970704
"Jujuy",1996,25111,564739,44.4647881587778
"La Pampa",1996,15648,287175,54.4894228258031
"La Rioja",1996,25989.4,253898,102.361578271589
"Mendoza",1996,45903,1528895,30.0236445275836
"Misiones",1996,32231.0666666667,906092,35.5715166524665
"Neuquén",1996,32755,481819,67.9819600306339
"Río Negro",1996,31451,571366,55.0452774578816
"Salta",1996,38916,979393,39.7348153397053
"San Juan",1996,28851,560139,51.5068581191454
"San Luis",1996,18113,330026,54.8835546290292
"Santa Cruz",1996,16412.3,186210,88.1386606519521
"Santa Fe",1996,94802,2979021,31.8232063486629
"Santiago del Estero",1996,31535,705460,44.7013296288946
"Tucumán",1996,45194.7666666667,1232100,36.6810864918973
"Tierra del Fuego",1996,6636,94968,69.8761688147587
"CABA",1997,109318,2985428,36.6171952564255
"Buenos Aires",1997,348788,13634681,25.580943184516
"Catamarca",1997,21843.5333333333,298246,73.2399875717808
"Córdoba",1997,75730.9333333333,2973533,25.4683345815679
"Corrientes",1997,40576,876423,46.2972788254074
"Chaco",1997,38960,911091,42.7619195009061
"Chubut",1997,21036,415163,50.6692552081953
"Entre Ríos",1997,49249,1079142,45.6371821317306
"Formosa",1997,32049.5333333333,465595,68.8356475763987
"Jujuy",1997,28479.5,569706,49.9898193103109
"La Pampa",1997,16620.4,289815,57.3483084036368
"La Rioja",1997,22522.4,258231,87.2180334661601
"Mendoza",1997,54829.9666666667,1536986,35.673692972263
"Misiones",1997,33733.0666666667,918797,36.7143848604933
"Neuquén",1997,33753,496567,67.9727005620591
"Río Negro",1997,30759.5333333333,578536,53.1678812266364
"Salta",1997,39239.9333333333,992374,39.5414766341453
"San Juan",1997,28393,558647,50.8245815335981
"San Luis",1997,17001,335637,50.6529375486016
"Santa Cruz",1997,16941.3,189688,89.3113955548058
"Santa Fe",1997,94625,2987522,31.6734069238653
"Santiago del Estero",1997,33651,705009,47.7313055578014
"Tucumán",1997,45673.1666666667,1237629,36.9037624899438
"Tierra del Fuego",1997,6878,114143,60.2577468613932
"CABA",1998,110847,3040292,36.4593269330709
"Buenos Aires",1998,365938.666666667,13879577,26.3652607472596
"Catamarca",1998,22145,306430,72.2677283555788
"Córdoba",1998,74368.8666666667,3027113,24.5675885461384
"Corrientes",1998,42343,896418,47.2357761669221
"Chaco",1998,40637,929878,43.7014318007309
"Chubut",1998,22349,428405,52.1679252109569
"Entre Ríos",1998,49595.1333333333,1096121,45.2460388345204
"Formosa",1998,32909.3333333333,480979,68.4215596384319
"Jujuy",1998,29133.1666666667,584267,49.8627625155394
"La Pampa",1998,17098.4,296748,57.6192594389853
"La Rioja",1998,23253.4,266846,87.1416472422296
"Mendoza",1998,54044.2666666667,1568461,34.4568763052869
"Misiones",1998,35577.0666666667,950262,37.4392185172791
"Neuquén",1998,34549,520423,66.3863818470744
"Río Negro",1998,28430.3333333333,594794,47.7986215956
"Salta",1998,38093.8666666667,1022846,37.2430127963219
"San Juan",1998,27866,569527,48.928321220943
"San Luis",1998,16899,346591,48.7577577028832
"Santa Cruz",1998,17728.3,196438,90.2488316924424
"Santa Fe",1998,99792,3038867,32.8385546323679
"Santiago del Estero",1998,34272,715891,47.8732097484114
"Tucumán",1998,46106.5666666667,1262936,36.5074450856312
"Tierra del Fuego",1998,7010,104823,66.8746362916535
"CABA",1999,114312,3043431,37.5602403997331
"Buenos Aires",1999,404654.666666667,14047486,28.8061982526031
"Catamarca",1999,22962.7666666667,312269,73.53521056098
"Córdoba",1999,72528.1333333333,3059115,23.7088613318994
"Corrientes",1999,41401,909207,45.5352851440871
"Chaco",1999,41776,940901,44.3999953236313
"Chubut",1999,22921,438236,52.3028687739026
"Entre Ríos",1999,50283,1104836,45.5117320579706
"Formosa",1999,33439.6,492513,67.8958727992967
"Jujuy",1999,28938.1666666667,594117,48.7078583286906
"La Pampa",1999,17177.4666666667,301466,56.9797810256104
"La Rioja",1999,23581.4,273471,86.2299841665113
"Mendoza",1999,60347.3666666667,1588091,37.9999424886021
"Misiones",1999,35849.0666666667,972672,36.8562749484581
"Neuquén",1999,36177.2666666667,540384,66.9473312804722
"Río Negro",1999,28547.6,606575,47.0635947739356
"Salta",1999,36237.8666666667,1044973,34.6782803638627
"San Juan",1999,29161.1666666667,574053,50.7987357729455
"San Luis",1999,16652,354959,46.9124603123178
"Santa Cruz",1999,17765.3,201642,88.1031729500798
"Santa Fe",1999,101363,3068765,33.0305513781603
