"provincia","estrato","rv"
"Buenos Aires","core",0.3815
"Buenos Aires","core",0.3298
"Buenos Aires","core",0.5345
"Buenos Aires","core",0.5225
"Buenos Aires","core",0.558
"Buenos Aires","core",0.3627
"Buenos Aires","core",0.3559
"Buenos Aires","core",0.5806
"Buenos Aires","core",0.4598
"Buenos Aires","core",0.4647
"Buenos Aires","core",0.434
"Buenos Aires","core",0.3824
"Buenos Aires","core",0.4601
"Buenos Aires","core",0.4996
"Buenos Aires","core",0.3507
"Buenos Aires","core",0.6748
"Buenos Aires","core",0.5724
"Buenos Aires","core",0.4054
"Buenos Aires","core",0.3634
"Buenos Aires","core",0.5869
"Buenos Aires","core",0.4484
"Buenos Aires","core",0.5249
"Buenos Aires","core",0.421
"Buenos Aires","core",0.4682
"Buenos Aires","core",0.5371
"Buenos Aires","core",0.3296
"Buenos Aires","core",0.4279
"Buenos Aires","core",0.5168
"Buenos Aires","core",0.4352
"Buenos Aires","core",0.5816
"Buenos Aires","core",0.3491
"Buenos Aires","core",0.3975
"Buenos Aires","core",0.6274
"Buenos Aires","core",0.3641
"Buenos Aires","core",0.4271
"Buenos Aires","core",0.4367
"Buenos Aires","core",0.6025
"Buenos Aires","core",0.4433
"Buenos Aires","core",0.3885
"Buenos Aires","core",0.5444
"Buenos Aires","core",0.4706
"Buenos Aires","core",0.3447
"Buenos Aires","core",0.4288
"Buenos Aires","core",0.4125
"Buenos Aires","core",0.4119
"Buenos Aires","core",0.5964
"Buenos Aires","core",0.486
"Buenos Aires","core",0.3392
"Buenos Aires","core",0.5488
"Buenos Aires","core",0.3804
"Buenos Aires","core",0.4473
"Buenos Aires","core",0.3243
"Buenos Aires","core",0.395
"Buenos Aires","core",0.5055
"Buenos Aires","core",0.4936
"Buenos Aires","core",0.4324
"Buenos Aires","core",0.4373
"Buenos Aires","core",0.3926
"Buenos Aires","core",0.3616
"Buenos Aires","core",0.3406
"Buenos Aires","core",0.4876
"Buenos Aires","core",0.6151
"Buenos Aires","core",0.3646
"Buenos Aires","core",0.4708
"Buenos Aires","core",0.4787
"Buenos Aires","core",0.5375
"Buenos Aires","core",0.4828
"Buenos Aires","core",0.3773
"Buenos Aires","core",0.6439
"Buenos Aires","core",0.4084
"Buenos Aires","core",0.4691
"Buenos Aires","core",0.269
"Buenos Aires","core",0.4797
"Buenos Aires","core",0.36
"Buenos Aires","core",0.3696
"Buenos Aires","core",0.474
"Buenos Aires","core",0.4002
"Buenos Aires","core",0.4786
"Buenos Aires","core",0.4376
"Buenos Aires","core",0.664
"Buenos Aires","core",0.4555
"Buenos Aires","core",0.5282
"Buenos Aires","core",0.3596
"Buenos Aires","core",0.6162
"Buenos Aires","core",0.5042
"Buenos Aires","core",0.4097
"Buenos Aires","core",0.5963
"Buenos Aires","core",0.2992
"Buenos Aires","core",0.4933
"Buenos Aires","core",0.3887
"Buenos Aires","core",0.3721
"Buenos Aires","core",0.33
"Buenos Aires","core",0.6499
"Buenos Aires","core",0.5384
"Buenos Aires","core",0.3739
"Buenos Aires","core",0.6864
"Buenos Aires","core",0.4553
"Buenos Aires","core",0.5452
"Buenos Aires","core",0.4269
"Buenos Aires","core",0.4522
"Buenos Aires","core",0.4042
"Buenos Aires","core",0.4796
"Buenos Aires","core",0.4089
"Buenos Aires","core",0.4986
"Buenos Aires","core",0.3973
"Buenos Aires","core",0.5333
"Buenos Aires","core",0.2533
"Buenos Aires","core",0.4006
"Buenos Aires","core",0.3154
"Buenos Aires","core",0.5688
"Buenos Aires","core",0.4841
"Buenos Aires","core",0.6362
"Buenos Aires","core",0.5077
"Buenos Aires","core",0.4399
"Buenos Aires","core",0.3776
"Buenos Aires","core",0.4451
"Buenos Aires","core",0.3417
"Buenos Aires","core",0.3731
"Buenos Aires","core",0.4768
"Buenos Aires","core",0.5603
"Buenos Aires","core",0.4085
"Buenos Aires","core",0.4543
"Buenos Aires","core",0.4003
"Buenos Aires","core",0.5406
"Buenos Aires","core",0.5504
"Buenos Aires","core",0.471
"Buenos Aires","core",0.3828
"Buenos Aires","core",0.5512
"Buenos Aires","core",0.3231
"Buenos Aires","core",0.5303
"Buenos Aires","core",0.347
"Buenos Aires","core",0.5438
"Buenos Aires","core",0.4571
"Buenos Aires","core",0.2808
"Córdoba","core",0.2916
"Córdoba","core",0.3837
"Córdoba","core",0.3585
"Córdoba","core",0.367
"Córdoba","core",0.2354
"Córdoba","core",0.3872
"Córdoba","core",0.2819
"Córdoba","core",0.3725
"Córdoba","core",0.2765
"Córdoba","core",0.22
"Córdoba","core",0.3648
