"supplier_id","provincia","estrato","A_personeria","A_rubro","A_cliente","A_escala","A_directa","A_registro","S_intensidad","S_tenure","S_cohorte","S_fundamento","n_adjudicaciones","primer_ejercicio","ultimo_ejercicio"
4147,"La Pampa","middle","PersFisica","OTROS","administracion","chica","sin_directa","reg22plus","1adj","1anio","pers_fisica","sin_fundamento",1,2025,2025
4148,"Buenos Aires","core","SRL","MANT. REPARACION Y","infraestructura","grande","sin_directa","reg19_21","1adj","1anio","fund_2011_2016","sin_fundamento",1,2023,2023
4149,"CABA","core","SA","MANT. REPARACION Y","administracion","grande","mixto","reg16_18","6-20adj","5+anios","fund_pre2000","consagrado",6,2020,2024
4150,"Buenos Aires","core","SA","ALIMENTOS","seguridad_defensa","grande","sin_directa","reg16_18","2-5adj","1anio","fund_pre2000","sin_fundamento",3,2019,2019
4151,"Chaco","outer","PersFisica","MANT. REPARACION Y","seguridad_defensa","media","sin_directa","reg16_18","2-5adj","2-4anios","pers_fisica","sin_fundamento",3,2019,2022
4152,"Santa Cruz","middle","PersFisica","SERV. PROFESIONAL ","seguridad_defensa","chica","mayoria_directa","reg19_21","1adj","1anio","pers_fisica","solo_aritmetico",1,2022,2022
4153,"CABA","core","SRL","MANT. REPARACION Y","seguridad_defensa","media","sin_directa","reg19_21","1adj","1anio","fund_2017plus","sin_fundamento",1,2019,2019
4154,"Buenos Aires","core","SA","OTROS","ciencia_universidad","chica","sin_directa","reg16_18","2-5adj","1anio","fund_2001_2010","sin_fundamento",2,2023,2023
4155,"CABA","core","SRL","ELECTRICIDAD Y TEL","seguridad_defensa","chica","mixto","reg16_18","20+adj","2-4anios","fund_2001_2010","solo_aritmetico",76,2024,2025
4156,"Mendoza","core","PersFisica","OTROS","infraestructura","chica","mayoria_directa","reg16_18","1adj","1anio","pers_fisica","solo_aritmetico",1,2020,2020
4157,"Santa Fe","core","PersFisica","MANT. REPARACION Y","seguridad_defensa","media","sin_directa","reg19_21","2-5adj","2-4anios","pers_fisica","sin_fundamento",3,2022,2025
4158,"CABA","core","OtraForma","OTROS","administracion","grande","mayoria_directa","reg16_18","20+adj","5+anios","sin_match","solo_aritmetico",60,2019,2025
4159,"Entre Ríos","middle","PersFisica","ALQUILER","salud_social","grande","mayoria_directa","reg19_21","2-5adj","5+anios","pers_fisica","solo_aritmetico",2,2021,2025
4160,"CABA","core","SRL","PROD. MEDICO/FARMA","salud_social","grande","mayoria_directa","reg16_18","20+adj","5+anios","fund_pre2000","consagrado",28,2019,2025
4161,"Córdoba","core","PersFisica","SERV. PROFESIONAL ","administracion","media","sin_directa","reg22plus","2-5adj","2-4anios","pers_fisica","sin_fundamento",4,2022,2025
4162,"Córdoba","core","SRL","ALQUILER","seguridad_defensa","media","mixto","reg16_18","20+adj","5+anios","fund_2001_2010","solo_aritmetico",27,2019,2025
4163,"CABA","core","PersFisica","OTROS","seguridad_defensa","media","mayoria_directa","reg22plus","2-5adj","1anio","pers_fisica","solo_aritmetico",3,2025,2025
4164,"La Pampa","middle","PersFisica","OTROS","administracion","chica","sin_directa","reg22plus","2-5adj","1anio","pers_fisica","sin_fundamento",3,2025,2025
4165,"Buenos Aires","core","SRL","OTROS","cultura_educacion","grande","mayoria_directa","reg19_21","1adj","1anio","fund_2001_2010","consagrado",1,2021,2021
4166,"Buenos Aires","core","PersFisica","MANT. REPARACION Y","seguridad_defensa","chica","sin_directa","reg16_18","1adj","1anio","pers_fisica","sin_fundamento",1,2020,2020
4167,"Corrientes","outer","OtraForma","MANT. REPARACION Y","infraestructura","grande","mayoria_directa","reg19_21","2-5adj","2-4anios","sin_match","solo_aritmetico",3,2021,2023
4168,"CABA","core","PersFisica","MANT. REPARACION Y","administracion","chica","mayoria_directa","reg16_18","1adj","1anio","pers_fisica","solo_aritmetico",1,2019,2019
4169,"Buenos Aires","core","PersFisica","OTROS","seguridad_defensa","chica","sin_directa","reg22plus","1adj","1anio","pers_fisica","sin_fundamento",1,2025,2025
4170,"CABA","core","SA","OTROS","administracion","grande","sin_directa","reg16_18","2-5adj","1anio","fund_pre2000","sin_fundamento",2,2019,2019
4171,"Buenos Aires","core","PersFisica","ALIMENTOS","seguridad_defensa","chica","sin_directa","reg16_18","6-20adj","2-4anios","pers_fisica","sin_fundamento",6,2019,2021
4172,"CABA","core","SA","ALIMENTOS","seguridad_defensa","chica","mixto","reg16_18","20+adj","5+anios","fund_2001_2010","solo_aritmetico",282,2019,2025
4173,"Córdoba","core","SA","MANT. REPARACION Y","ciencia_universidad","sin_ars","sin_directa","reg19_21","1adj","1anio","fund_2001_2010","sin_fundamento",1,2022,2022
4174,"La Pampa","middle","PersFisica","MANT. REPARACION Y","infraestructura","media","mixto","reg16_18","2-5adj","5+anios","pers_fisica","solo_aritmetico",5,2019,2024
4175,"Córdoba","core","SA","EQUIPOS","seguridad_defensa","chica","mixto","reg16_18","2-5adj","5+anios","fund_pre2000","solo_aritmetico",3,2020,2025
4176,"CABA","core","SRL","MANT. REPARACION Y","seguridad_defensa","media","mixto","reg16_18","2-5adj","5+anios","fund_2011_2016","solo_aritmetico",3,2020,2025
4177,"CABA","core","PersFisica","OTROS","administracion","chica","mayoria_directa","reg16_18","6-20adj","5+anios","pers_fisica","solo_aritmetico",14,2019,2023
4178,"CABA","core","SA","MANT. REPARACION Y","seguridad_defensa","grande","mixto","reg16_18","2-5adj","5+anios","fund_pre2000","solo_aritmetico",5,2020,2025
4179,"CABA","core","SA","SERV. PROFESIONAL ","seguridad_defensa","media","mayoria_directa","reg22plus","1adj","1anio","fund_pre2000","consagrado",1,2024,2024
4180,"Tucumán","outer","PersFisica","OTROS","ciencia_universidad","grande","sin_directa","reg22plus","1adj","1anio","pers_fisica","sin_fundamento",1,2022,2022
4181,"Buenos Aires","core","OtraForma","SERV. PROFESIONAL ","infraestructura","chica","mayoria_directa","reg22plus","2-5adj","2-4anios","fund_2017plus","consagrado",3,2022,2023
4182,"Santa Fe","core","PersFisica","ALIMENTOS","salud_social","grande","mixto","reg16_18","6-20adj","5+anios","pers_fisica","solo_aritmetico",15,2019,2023
4183,"Chubut","middle","PersFisica","MANT. REPARACION Y","infraestructura","media","mayoria_directa","reg22plus","1adj","1anio","pers_fisica","solo_aritmetico",1,2025,2025
4184,"Buenos Aires","core","SA","OTROS","infraestructura","grande","sin_directa","reg19_21","1adj","1anio","fund_2001_2010","sin_fundamento",1,2021,2021
4185,"CABA","core","SA","ALQUILER","administracion","media","mayoria_directa","reg19_21","1adj","1anio","fund_pre2000","consagrado",1,2020,2020
4186,"CABA","core","SRL","ALQUILER","administracion","media","mayoria_directa","reg16_18","1adj","1anio","fund_pre2000","solo_aritmetico",1,2019,2019
4187,"CABA","core","SRL","SERV. PROFESIONAL ","administracion","chica","mayoria_directa","reg22plus","1adj","1anio","fund_2017plus","solo_aritmetico",1,2025,2025
4188,"CABA","core","SA","OTROS","infraestructura","grande","sin_directa","reg16_18","1adj","1anio","fund_2011_2016","sin_fundamento",1,2021,2021
4189,"Santa Fe","core","PersFisica","EQUIPOS","administracion","grande","sin_directa","reg22plus","1adj","1anio","pers_fisica","sin_fundamento",1,2022,2022
4190,"Misiones","outer","PersFisica","ALIMENTOS","seguridad_defensa","media","mayoria_directa","reg16_18","6-20adj","5+anios","pers_fisica","solo_aritmetico",7,2021,2025
4191,"Córdoba","core","SA","ELECTRICIDAD Y TEL","administracion","media","mixto","reg16_18","2-5adj","2-4anios","fund_2001_2010","solo_aritmetico",4,2024,2025
4192,"Corrientes","outer","PersFisica","OTROS","seguridad_defensa","media","mixto","reg19_21","6-20adj","2-4anios","pers_fisica","solo_aritmetico",14,2020,2021
4193,"Tucumán","outer","SRL","OTROS","seguridad_defensa","media","mixto","reg16_18","6-20adj","2-4anios","fund_2001_2010","solo_aritmetico",15,2019,2022
4194,"CABA","core","SA","EQUIPOS","seguridad_defensa","grande","sin_directa","reg16_18","6-20adj","5+anios","fund_2001_2010","sin_fundamento",11,2021,2025
4195,"Río Negro","middle","PersFisica","LIBRERIA PAP. Y UT","seguridad_defensa","media","mixto","reg22plus","6-20adj","2-4anios","pers_fisica","solo_aritmetico",8,2023,2024
4196,"Tucumán","outer","SRL","SERV. PROFESIONAL ","seguridad_defensa","grande","sin_directa","reg19_21","2-5adj","1anio","fund_2001_2010","sin_fundamento",2,2019,2019
4197,"CABA","core","PersFisica","ELECTRICIDAD Y TEL","seguridad_defensa","chica","mayoria_directa","reg22plus","1adj","1anio","pers_fisica","solo_aritmetico",1,2025,2025
4198,"Santa Fe","core","OtraForma","ALQUILER","administracion","grande","sin_directa","reg19_21","2-5adj","1anio","sin_match","sin_fundamento",2,2021,2021
